Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00435848

Date MM-DD-YYYY        ,       09-19-2018
Time HH:MM:SS          ,       16:44:40


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       465
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.308
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.075
Beam Center Y [mm]     ,      -0.097
Beam Diameter X [mm]   ,       3.934
Beam Diameter Y [mm]   ,       4.385


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       1
Pupil Diameter X [mm]  ,       3.000
Pupil Diameter Y [mm]  ,       3.000
Pupil Center X [mm]    ,      -0.200
Pupil Center Y [mm]    ,      -0.200


*** CENTROIDS [pixels] ***
Centroids X            ,       47
Centroids Y            ,       35
     NaN,     NaN,   33.616,  14.450,   64.519,  14.435,   95.468,  14.318,  126.511,  14.514,  157.490,  14.435,  188.481,  14.434,  219.535,  14.489,  250.458,  14.357,  281.542,  14.434,  312.542,  14.507,  343.499,  14.439,  374.537,  14.467,  405.539,  14.429,  436.477,  14.462,  467.478,  14.409,  498.551,  14.453,  529.545,  15.537,  560.501,  16.408,  591.527,  17.455,  622.339,  18.307,  653.538,  19.318,  684.295,  20.213,  715.128,  21.106,  743.806,  19.963,  772.466,  17.461,  802.562,  15.879,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,   34.580,  32.497,   65.502,  33.473,   96.448,  34.546,  127.485,  35.522,  158.499,  36.436,  189.514,  37.511,  220.583,  38.426,  251.472,  39.522,  282.525,  40.471,  313.580,  41.413,  344.518,  42.540,  375.522,  43.473,  406.538,  44.472,  437.563,  45.564,  468.410,  46.577,  499.482,  47.612,  530.455,  48.659,  561.561,  49.682,  592.338,  50.712,  623.579,  51.853,  654.255,  52.193,  685.436,  52.479,  716.271,  52.713,  745.119,  53.306,  774.607,  54.511,  803.924,  56.147,  832.234,  58.045,  861.696,  59.447,  890.457,  60.383,  919.563,  61.107,  948.685,  61.997,  977.747,  61.849, 1006.596,  61.235, 1035.396,  61.299, 1064.457,  61.184, 1093.583,  60.998, 1122.467,  59.978, 1151.548,  58.920, 1180.475,  57.820, 1209.639,  56.855, 1227.000,  46.000, 1256.446,  45.528, 1285.569,  44.519, 1314.496,  43.520, 1343.541,  42.469, 1372.535,  41.493, 
     NaN,     NaN,   35.481,  60.636,   66.499,  61.624,   97.547,  62.639,  128.492,  63.621,  159.499,  64.593,  190.597,  65.653,  221.475,  66.699,  252.490,  67.616,  283.497,  68.582,  314.553,  69.516,  345.591,  70.528,  376.490,  71.568,  407.533,  72.533,  438.507,  73.463,  469.415,  74.492,  500.434,  75.475,  531.481,  76.487,  562.507,  77.499,  593.499,  78.510,  624.509,  79.533,  655.538,  80.463,  686.534,  81.486,  717.427,  82.422,  746.249,  81.492,  775.577,  80.478,  809.333,  83.667,  838.429,  82.478,  867.543,  81.425,  896.557,  80.469,  925.584,  79.507,  954.477,  78.507,  983.513,  77.425, 1012.554,  76.542, 1041.530,  75.450, 1070.514,  74.456, 1099.486,  73.534, 1128.477,  72.557, 1157.511,  71.590, 1186.540,  70.538, 1215.565,  69.508, 1244.495,  68.581, 1273.601,  67.536, 1302.442,  66.572, 1331.544,  65.672, 1360.572,  64.804, 1389.714,  64.025, 
  11.932,  92.475,   39.508,  93.502,   70.467,  94.464,  101.499,  95.497,  132.536,  96.470,  163.493,  97.506,  194.491,  98.434,  225.506,  99.492,  256.464, 100.488,  287.509, 101.440,  318.523, 102.502,  349.482, 103.523,  380.434, 104.485,  411.492, 105.476,  442.489, 106.483,  473.484, 107.481,  504.470, 108.477,  535.503, 109.463,  566.441, 110.478,  597.556, 111.467,  628.585, 112.744,  658.299, 112.890,  688.770, 113.099,  718.037, 113.086,  747.914, 113.077,  778.378, 112.817,  808.342, 112.730,  838.253, 112.880,  867.691, 112.455,  898.034, 112.525,  928.533, 111.867,  957.359, 110.370,  986.472, 109.338, 1015.561, 108.356, 1044.539, 107.299, 1073.569, 106.508, 1102.467, 105.430, 1131.543, 104.449, 1160.492, 103.515, 1189.470, 102.459, 1218.455, 101.463, 1247.502, 100.474, 1276.558,  99.400, 1305.549,  98.438, 1334.581,  97.290, 1363.649,  96.346, 1392.729,  95.174, 
  12.963, 124.452,   41.488, 125.449,   72.503, 126.437,  103.495, 127.488,  134.526, 128.478,  165.477, 129.468,  196.497, 130.531,  227.506, 131.474,  258.494, 132.454,  289.517, 133.459,  320.577, 134.466,  351.495, 135.472,  382.469, 136.471,  413.505, 137.475,  444.502, 138.417,  475.497, 139.467,  506.508, 140.446,  537.558, 141.376,  568.479, 142.000,  598.217, 142.251,  628.870, 142.077,  658.534, 143.199,  688.328, 142.577,  718.794, 142.694,  747.983, 143.311,  778.139, 142.421,  808.534, 143.249,  837.755, 142.787,  868.085, 142.449,  898.008, 143.201,  927.445, 142.407,  958.566, 142.396,  987.876, 140.814, 1016.778, 138.878, 1045.734, 136.834, 1074.496, 135.119, 1103.634, 134.295, 1132.518, 133.036, 1161.462, 132.184, 1190.455, 131.454, 1219.538, 130.359, 1248.512, 129.442, 1277.544, 128.423, 1306.500, 127.444, 1335.485, 126.508, 1364.610, 125.439, 1393.710, 124.421, 
  13.388, 156.410,   42.384, 157.321,   73.427, 158.289,  104.634, 159.250,  135.579, 160.335,  166.479, 161.450,  197.513, 162.478,  228.476, 163.479,  259.461, 164.354,  290.439, 165.368,  321.524, 166.446,  352.491, 167.387,  383.559, 168.380,  414.451, 169.437,  445.426, 170.351,  476.485, 171.378,  507.800, 172.523,  538.529, 172.863,  568.989, 173.952,  597.550, 173.556,  629.902, 174.631,  658.634, 173.430,  687.941, 173.526,  718.766, 173.590,  747.638, 172.980,  778.435, 174.258,  808.692, 173.238,  837.901, 173.676,  867.887, 174.241,  897.995, 173.557,  927.883, 174.775,  958.146, 173.948,  987.495, 173.638, 1017.255, 174.170, 1046.336, 172.878, 1075.800, 171.128, 1104.224, 170.121, 1133.596, 169.050, 1162.653, 167.804, 1191.521, 165.900, 1220.469, 164.141, 1249.623, 162.948, 1278.575, 161.299, 1307.532, 160.357, 1336.548, 159.403, 1365.539, 158.468, 1394.555, 157.492, 
  14.397, 186.546,   45.586, 187.378,   76.365, 188.408,  107.542, 189.235,  138.547, 190.312,  169.582, 191.200,  200.438, 192.318,  231.577, 193.248,  262.511, 194.285,  293.319, 195.094,  324.476, 196.063,  355.604, 197.948,  386.544, 199.303,  417.467, 200.188,  448.486, 201.138,  479.576, 202.245,  508.244, 202.572,  539.433, 203.235,  568.757, 202.685,  597.822, 202.646,  628.908, 202.219,  658.478, 202.515,  688.589, 202.738,  718.104, 202.239,  748.090, 202.140,  778.384, 201.927,  808.257, 202.110,  838.210, 202.215,  867.880, 202.206,  897.952, 202.173,  928.071, 201.737,  957.800, 202.362,  987.802, 202.535, 1017.404, 202.333, 1047.738, 202.585, 1077.000, 202.000, 1106.337, 200.266, 1135.556, 198.152, 1164.735, 196.401, 1193.527, 194.859, 1222.826, 192.482, 1251.320, 190.966, 1280.654, 189.068, 1309.641, 188.235, 1338.555, 187.316, 1367.592, 186.379, 1396.495, 185.432, 
  16.346, 205.880,   47.464, 207.001,   78.207, 208.486,  109.435, 210.987,  140.804, 213.228,  171.284, 215.922,  202.132, 217.692,  233.555, 219.824,  264.354, 221.505,  295.344, 223.469,  326.537, 225.755,  357.835, 227.498,  388.536, 229.905,  419.636, 232.091,  448.694, 232.161,  479.766, 232.209,  508.743, 233.315,  538.781, 232.059,  568.814, 232.168,  597.898, 232.892,  628.800, 231.929,  658.822, 232.976,  688.006, 232.175,  718.778, 232.203,  747.947, 232.642,  778.192, 232.175,  808.844, 232.588,  837.660, 232.464,  868.187, 232.398,  898.149, 232.805,  927.615, 232.492,  958.573, 232.967,  987.421, 232.724, 1017.412, 233.125, 1048.153, 233.275, 1076.914, 233.759, 1106.806, 229.204, 1135.882, 225.445, 1165.075, 222.084, 1194.419, 219.227, 1224.294, 216.856, 1253.505, 214.225, 1282.622, 212.686, 1311.726, 210.827, 1340.568, 209.076, 1369.641, 208.092, 1398.708, 207.203, 
  19.139, 232.281,   50.050, 234.954,   81.043, 237.899,  112.862, 240.952,  143.075, 243.576,  173.365, 246.958,  204.334, 249.301,  235.605, 251.850,  266.063, 253.437,  296.048, 255.447,  327.066, 257.270,  357.717, 259.403,  388.372, 261.055,  419.557, 262.844,  448.212, 263.088,  481.584, 263.954,  508.137, 262.868,  539.048, 263.531,  568.872, 263.312,  597.512, 263.248,  629.769, 263.552,  658.677, 262.983,  688.336, 263.279,  718.373, 263.258,  747.890, 262.920,  778.681, 263.473,  808.505, 263.135,  838.071, 263.270,  867.646, 263.212,  898.150, 263.026,  928.234, 263.119,  958.069, 263.148,  987.613, 262.994, 1017.262, 262.808, 1048.077, 262.985, 1077.326, 262.959, 1107.213, 263.393, 1137.090, 259.836, 1165.721, 256.849, 1195.550, 252.767, 1224.908, 248.846, 1254.579, 245.935, 1284.638, 242.964, 1313.760, 240.425, 1342.566, 238.184, 1371.886, 236.681, 1400.980, 234.832, 
  17.957, 262.590,   50.660, 264.530,   81.142, 266.018,  113.500, 268.278,  143.692, 271.768,  173.608, 274.486,  205.319, 276.131,  236.879, 278.298,  267.329, 281.338,  299.375, 283.933,  330.085, 286.455,  361.214, 289.914,  391.732, 292.220,  420.282, 292.307,  449.102, 292.747,  479.816, 292.276,  508.613, 292.150,  538.791, 292.309,  568.716, 292.068,  598.263, 292.219,  628.785, 292.064,  658.280, 292.086,  688.416, 292.271,  718.553, 292.152,  748.251, 292.301,  778.386, 292.243,  808.249, 292.404,  838.287, 292.461,  868.098, 292.352,  898.211, 292.754,  927.836, 292.335,  958.020, 292.427,  987.728, 292.838, 1017.612, 292.225, 1048.052, 292.859, 1077.207, 292.661, 1107.370, 292.485, 1137.492, 293.000, 1165.583, 287.917, 1197.115, 283.769, 1226.767, 279.417, 1256.042, 276.232, 1286.060, 273.180, 1316.191, 270.196, 1346.119, 267.760, 1376.403, 264.818, 1406.085, 263.014, 
