Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS20-5C
Serial Number          ,       M00435848

Date MM-DD-YYYY        ,       09-19-2018
Time HH:MM:SS          ,       16:44:53


*** CAMERA ***
Camera Type            ,       Thorlabs WFS20
Camera SN              ,       465
Resolution X           ,       1440
Resolution Y           ,       1080
Exposure Time [ms]     ,       0.308
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.075
Beam Center Y [mm]     ,      -0.097
Beam Diameter X [mm]   ,       3.933
Beam Diameter Y [mm]   ,       4.386


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       0
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       1
Pupil Diameter X [mm]  ,       3.000
Pupil Diameter Y [mm]  ,       3.000
Pupil Center X [mm]    ,      -0.200
Pupil Center Y [mm]    ,      -0.200


*** POWER DISTRIBUTION [a.u.] ***
Power points X         ,       47
Power points Y         ,       35
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       4,       6,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     348,     406,     471,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     573,    1062,    1356,    1742,    1924,    1819,    1694,    1166,     900,     606,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     774,    1540,    1720,    2776,    1224,    1368,    1313,    1018,    1245,    1019,    1124,    1666,    1516,     449,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     652,    1665,    3440,    2439,    1922,    2314,    2151,    2441,    1905,    1554,    1292,    1524,    1423,     960,     759,     880,     905,     396,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     716,    2594,    2533,    1825,    1959,    1489,    1735,    1496,    1550,    1964,    1265,    1150,    1096,     826,    1252,     669,     642,     610,     391,     582,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     574,    2461,    2995,     956,    2955,    1755,    1882,    2048,    1189,    2056,    1259,    2081,    1247,     917,    1611,    1254,    1433,     639,     835,     838,    1034,     713,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     699,    2405,    2605,    2497,    2026,    2255,    1805,    1776,    1746,    1381,    1523,    1279,    1629,    1503,     991,    1144,     825,    1009,     852,     699,     669,     529,     749,     325,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2011,    3014,    1691,    2715,    1519,    1992,    1854,    1431,    2045,    1311,    1224,    1670,    1224,    1398,    1105,     974,    1120,     870,     570,     759,     381,     646,     506,     300,     342,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     385,    3118,    1452,    2045,    2710,    1310,    2468,    1910,    1859,    2031,    1537,    1900,    2140,    1970,    1656,    1272,    1635,    1312,    1211,     946,     858,     884,     669,     777,     394,     655,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1786,    2795,    2014,    1830,    2176,    1902,    1948,    1510,    1684,    1609,    1532,    1759,    1734,    1960,    1601,    1294,    1474,    1273,    1112,     897,     922,     758,     720,     594,     292,     814,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     610,    2006,    2347,    1962,    1385,    2319,    1231,    2648,    2117,    1229,    1830,    1331,    2041,    2061,    1350,    1350,    1335,    1463,    1326,    1086,     805,     986,     903,     668,     762,     360,     580,     629,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1176,    2006,    2492,    2037,    1904,    2143,    1474,    2427,    2590,    1968,    2025,    1938,    2032,    1967,    1699,    1789,    1548,    1308,    1386,     997,    1005,     682,     740,     584,     610,     401,     230,     584,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1753,    2568,    2863,    1941,    1985,    2425,    1662,    2100,    2236,    2129,    2248,    1914,    2145,    2030,    1624,    1740,    1449,    1433,    1562,    1041,     729,    1178,     753,     656,     621,     299,     628,     628,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2260,    1555,    3294,    2104,     927,    2448,    1298,    2898,    2263,    1138,    1987,    1466,    2275,    2328,    1432,    1379,    1430,    1595,    1280,     999,     823,    1153,     847,     633,     710,     517,     772,     639,     234,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2398,    1714,    2589,    2029,    2081,    2139,    1635,    2181,    2005,    1917,    2000,    1766,    1948,    1570,    1508,    1461,    1373,    1306,    1191,    1084,    1034,     955,     914,     695,     627,     543,     679,     601,     335,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2726,    1782,    2804,    2263,    2015,    2489,    1621,    2296,    2614,    1623,    1751,    1504,    1933,    2033,    1336,    1476,    1497,    1463,    1396,    1106,     931,     923,    1090,     641,     476,     472,     735,     780,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2224,    1274,    2734,    1879,     926,    2284,    1126,    2076,    2534,    1315,    2140,    1740,    1685,    2149,    1278,    1615,    1733,    1238,    1553,    1154,    1058,    1260,    1014,     776,     775,     694,     766,     714,     298,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2021,    1951,    2254,    1724,    1534,    1899,    1684,    1883,    1581,    1851,    1830,    1701,    1965,    1851,    1699,    1671,    1662,    1461,    1481,    1259,    1236,    1296,    1103,     792,     865,     627,     846,     887,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1497,    2162,    2863,    2211,    1267,    2216,    1319,    2616,    2344,    1318,    2313,    1475,    1535,    1756,    1245,    1744,    1540,    1461,    1340,    1071,    1040,    1321,     991,     646,     797,     374,     681,     938,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     395,    2098,    1470,    1961,    1072,    2065,    1371,    1794,    2313,    1518,    1970,    1633,    1616,    1998,    1616,    1650,    1663,    1428,    1419,    1202,    1379,    1167,     950,     696,     825,     701,     356,     786,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2046,    2067,    1698,    1745,    2089,    1643,    2219,    2206,    1836,    2267,    1925,    2121,    2125,    1599,    1948,    1893,    1667,    1404,     956,     742,     733,    1458,     693,     780,     692,     941,     655,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1035,    3376,    2007,     572,    2366,    1242,    2423,    2215,     920,    2364,    1660,    1338,    1952,    1089,    1471,    1721,     902,    1314,     849,     674,     889,     622,     728,    1002,     366,    1143,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     369,    2143,    1815,    1521,    2004,    1569,    1734,    2093,    1532,    1894,    1715,    1717,    1723,    1542,    1567,    1256,    1434,    1509,     817,     733,     586,     778,     487,     751,    1265,     634,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1382,    2771,    1163,    2396,    1718,    2237,    2313,    1576,    2269,    2022,    2196,    2086,    1414,    2037,    1968,    1838,    1252,    1141,    1016,    1007,    1482,     494,    1107,     879,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1511,     856,    1759,    1329,     809,    1950,     975,    1489,    1790,     798,    1853,    1240,    1263,    1854,    1119,    1174,    1106,     899,    1296,     684,     637,    1239,     206,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     307,    1349,    1692,    1151,    1633,    1410,    1504,    1654,    1438,    1706,    1681,    1611,    1784,    1686,    1406,    1394,    1291,    1786,    1164,    1512,    1428,     505,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
